asset,regime_type,regime_value,model,n,rmse,mae,qlike
BTC-USD,tercile,high,EWMA,448,2.5285718258e-03,1.2049516397e-03,1.4888649180e+00
BTC-USD,tercile,high,GARCH,448,2.4471645896e-03,1.1193330823e-03,6.8027627948e-01
BTC-USD,tercile,high,HAR,448,2.4242993543e-03,1.1303818041e-03,7.4233206820e-01
BTC-USD,year,2022,LightGBM,92,2.8392550668e-03,7.0369728138e-04,4.0661036420e+00
BTC-USD,year,2022,EWMA,92,2.8324440713e-03,1.1297602058e-03,2.4931059691e+00
BTC-USD,year,2022,GARCH,92,2.8726969177e-03,1.4171450011e-03,2.6349083002e+00
BTC-USD,year,2022,HAR,92,2.8547166888e-03,1.3991941956e-03,2.5520213334e+00
BTC-USD,year,2023,LightGBM,365,1.2573885116e-03,4.8107952820e-04,4.6505402982e+00
BTC-USD,year,2023,EWMA,365,1.2173006167e-03,6.4690384090e-04,2.2504995576e+00
BTC-USD,year,2023,GARCH,365,1.3388812444e-03,1.0413798297e-03,2.3429171692e+00
BTC-USD,year,2023,HAR,365,1.2489784214e-03,8.7524109283e-04,2.2278018211e+00
BTC-USD,year,2024,LightGBM,366,1.5578536186e-03,6.6993071329e-04,3.2633639594e+00
BTC-USD,year,2024,EWMA,366,1.4975147859e-03,8.7152122128e-04,1.7616094672e+00
BTC-USD,year,2024,GARCH,366,1.4889371640e-03,9.1343660136e-04,1.7349615052e+00
BTC-USD,year,2024,HAR,366,1.4810652553e-03,8.9496797067e-04,1.7074086214e+00
BTC-USD,year,2025,LightGBM,365,1.0238977223e-03,4.2991887730e-04,3.5864782625e+00
BTC-USD,year,2025,EWMA,365,9.7308018435e-04,5.3337136945e-04,1.7423506742e+00
BTC-USD,year,2025,GARCH,365,1.0241829548e-03,7.1062800520e-04,1.8723110546e+00
BTC-USD,year,2025,HAR,365,9.7752663352e-04,6.3858888414e-04,1.7871451347e+00
BTC-USD,year,2026,LightGBM,156,2.2480140682e-03,6.6386379192e-04,4.1970123247e+00
BTC-USD,year,2026,EWMA,156,2.2086237278e-03,8.7253723822e-04,1.8545553680e+00
BTC-USD,year,2026,GARCH,156,2.1727502965e-03,8.6505999526e-04,1.7710723986e+00
